Title,Details,Category,Rating,Votes,Director
Canim Kardesim,19731h 25m,Drama,8.6,10K,Ertem Egilmez
Hababam Sinifi Tatilde,19771h 37m,Adventure,8.6,19K,Ertem Egilmez
Gojira -1.0,2023PG-132h 4m,Action,8.5,15K,Takashi Yamazaki
Gladiatorius,2000R2h 35m,Action,8.5,1.6M,Ridley Scott
Ištrūkęs Džango,2012N-162h 45m,Drama,8.5,1.7M,Quentin Tarantino
Atkirtis,2014N-161h 46m,Drama,8.5,951K,Damien Chazelle
Parazitas,2019R2h 12m,Drama,8.5,909K,Bong Joon Ho
Leonas,1994R1h 50m,Action,8.5,1.2M,Luc Besson
Infiltruoti,2006R2h 31m,Crime,8.5,1.4M,Martin Scorsese
Svetimas,1979R1h 57m,Horror,8.5,930K,Ridley Scott
Prestižas,2006PG-132h 10m,Drama,8.5,1.4M,Christopher Nolan
Atgal į ateitį,1985PG1h 56m,Adventure,8.5,1.3M,Robert Zemeckis
Įprasti įtariamieji,1995R1h 46m,Crime,8.5,1.1M,Bryan Singer
Jonvabalių kapas,1988Not Rated1h 29m,Animation,8.5,301K,Isao Takahata
Liūtas karalius,1994G1h 28m,Animation,8.5,1.1M,Roger Allers
Amerikos istorija X,1998R1h 59m,Crime,8.5,1.2M,Tony Kaye
Pianistas,2002R2h 30m,Biography,8.5,890K,Roman Polanski
Neliečiamieji,2011R1h 52m,Biography,8.5,909K,Olivier Nakache
Kasablanka,1942PG1h 42m,Drama,8.5,597K,Michael Curtiz
Psichopatas,1960R1h 49m,Horror,8.5,706K,Alfred Hitchcock
Kartą vakaruose,1968PG-132h 46m,Western,8.5,344K,Sergio Leone
Langas į kiemą,1954PG1h 52m,Mystery,8.5,513K,Alfred Hitchcock
Naujasis 'Paradiso' kino teatras,1988PG2h 35m,Drama,8.5,277K,Giuseppe Tornatore
Dear Zachary: A Letter to a Son About His Father,2008Not Rated1h 35m,Documentary,8.5,40K,Kurt Kuenne
Modernūs laikai,1936G1h 27m,Comedy,8.5,255K,Charles Chaplin
Didmiesčio žiburiai,1931G1h 27m,Comedy,8.5,193K,Charles Chaplin
Moteris smėlynuose,1964Not Rated2h 27m,Drama,8.5,22K,Hiroshi Teshigahara
Senna,2010PG-131h 46m,Documentary,8.5,75K,Asif Kapadia
La meglio gioventù,2003R6h 6m,Drama,8.5,23K,Marco Tullio Giordana
Baraka,1992Not Rated1h 36m,Documentary,8.5,41K,Ron Fricke
96,2018Not Rated2h 38m,Drama,8.5,35K,C. Prem Kumar
Le trou,1960Not Rated2h 11m,Crime,8.5,20K,Jacques Becker
Kumbalangi Nights,2019Not Rated2h 15m,Comedy,8.5,17K,Madhu C. Narayanan
Mano dukrai Samai,2019TV-PG1h 40m,Documentary,8.5,13K,Waad Al-Kateab
Jersey,2019Not Rated2h 37m,Drama,8.5,21K,Gowtam Tinnanuri
Apur Sansar,1959Not Rated1h 45m,Drama,8.5,16K,Satyajit Ray
Selvi Boylum Al Yazmalim,19771h 30m,Drama,8.5,17K,Atif Yilmaz
Sarpatta Parambarai,20212h 53m,Action,8.5,25K,Pa. Ranjith
Visaranai,2015Not Rated1h 57m,Crime,8.5,12K,Vetrimaaran
Operatsiya 'Y' i drugie priklyucheniya Shurika,1965TV-G1h 35m,Comedy,8.5,14K,Leonid Gaidai
Thalapathi,1991Not Rated2h 37m,Action,8.5,13K,Mani Ratnam
Zübük,19801h 28m,Comedy,8.5,11K,Kartal Tibet
Gol Maal,1979Not Rated2h,Comedy,8.5,20K,Hrishikesh Mukherjee
Namai,2009Not Rated1h 58m,Documentary,8.5,23K,Yann Arthus-Bertrand
Çöpçüler Krali,19771h 20m,Comedy,8.5,21K,Zeki Ökten
Openheimeris,2023N-163h,Biography,8.4,544K,Christopher Nolan
Negarbingi šunsnukiai,2009R2h 33m,Adventure,8.4,1.5M,Quentin Tarantino
Indiana Džounsas ir dingusios Sandoros skrynios ieškotojai,1981PG1h 55m,Action,8.4,1M,Steven Spielberg
Džokeris,2019N-162h 2m,Crime,8.4,1.4M,Todd Phillips
Keršytojai: Pabaiga,2019N-133h 1m,Action,8.4,1.2M,Anthony Russo
Svetimas 2,1986R2h 17m,Action,8.4,750K,James Cameron
Žmogus-voras: į naują visatą,2018N-71h 57m,Animation,8.4,645K,Bob Persichetti
Tamsos riterio sugrįžimas,2012N-132h 44m,Action,8.4,1.8M,Christopher Nolan
Senis,2003N-182h,Action,8.4,619K,Park Chan-wook
Memento,2000R1h 53m,Mystery,8.4,1.3M,Christopher Nolan
Švytėjimas,1980N-162h 26m,Drama,8.4,1.1M,Stanley Kubrick
Šių dienų apokalipsė,1979R2h 27m,Drama,8.4,698K,Francis Ford Coppola
