Title,Details,Category,Rating,Votes,Director
Le feu follet,1963Not Rated1h 48m,Drama,7.9,10K,Louis Malle
Ponios X auskarai,1953Not Rated1h 45m,Drama,7.9,11K,Max Ophüls
Who Killed Captain Alex?,2015Not Rated1h 4m,Action,7.9,11K,Nabwana I.G.G.
Dev.D,2009Not Rated2h 24m,Comedy,7.9,32K,Anurag Kashyap
Johnny Gaddaar,2007Not Rated2h 15m,Crime,7.9,13K,Sriram Raghavan
Gemide,19981h 42m,Crime,7.9,16K,Serdar Akar
Anvil: The Story of Anvil,2008Not Rated1h 20m,Documentary,7.9,17K,Sacha Gervasi
Juzni vetar,20182h 10m,Crime,7.9,12K,Milos Avramovic
Border,1997Not Rated2h 56m,Action,7.9,17K,J.P. Dutta
Mikropasaulis,1996G1h 20m,Documentary,7.9,12K,Claude Nuridsany
Hey Ram,2000Not Rated3h 6m,Crime,7.9,14K,Kamal Haasan
Avaze gonjeshk-ha,2008PG1h 36m,Drama,7.9,11K,Majid Majidi
The Devil and Daniel Johnston,2005PG-131h 50m,Documentary,7.9,10K,Jeff Feuerzeig
Klass,20071h 39m,Drama,7.9,16K,Ilmar Raag
Vishwaroopam,2013Not Rated2h 28m,Action,7.9,41K,Kamal Haasan
Earth,2007G1h 30m,Documentary,7.9,15K,Alastair Fothergill
Kin-dza-dza!,1986PG-132h 15m,Comedy,7.9,13K,Georgiy Daneliya
Migruojantys paukščiai,2001G1h 38m,Documentary,7.9,12K,Jacques Perrin
Neįmanoma misija: mirtinas atpildas. Pirma dalis,2023N-132h 43m,Action,7.8,199K,Christopher McQuarrie
Betmenas,2022N-132h 56m,Action,7.8,749K,Matt Reeves
Viskas iškart ir visur,2022R2h 19m,Action,7.8,493K,Daniel Kwan
Vilis Vonka ir šokolado fabrikas,1971G1h 40m,Family,7.8,217K,Mel Stuart
Džentelmenai,2019R1h 53m,Action,7.8,377K,Guy Ritchie
The Muppet Christmas Carol,1992G1h 25m,Comedy,7.8,66K,Brian Henson
Mažosios moterys,2019PG2h 15m,Drama,7.8,233K,Greta Gerwig
Užrašų knygelė,2004PG-132h 3m,Drama,7.8,605K,Nick Cassavetes
Tumstounas,1993R2h 10m,Biography,7.8,162K,George P. Cosmatos
Puikybe ir prietarai,2005PG2h 9m,Drama,7.8,321K,Joe Wright
Pradink,2017N-161h 44m,Horror,7.8,673K,Jordan Peele
Pagrobimas,2008PG-131h 30m,Action,7.8,625K,Pierre Morel
Vadink mane savo vardu,2017R2h 12m,Drama,7.8,302K,Luca Guadagnino
Važiuok,2011N-161h 40m,Action,7.8,690K,Nicolas Winding Refn
Airis,2019R3h 29m,Biography,7.8,420K,Martin Scorsese
Gresmingasis aštuonetas,2015N-162h 48m,Crime,7.8,644K,Quentin Tarantino
Vakarų fronte nieko naujo,2022R2h 28m,Action,7.8,230K,Edward Berger
Socialinis tinklalapis,2010PG-132h,Biography,7.8,745K,David Fincher
Laiko tiltas,2013N-72h 3m,Comedy,7.8,377K,Richard Curtis
Hobitas: nelaukta kelionė,2012N-132h 49m,Adventure,7.8,859K,Peter Jackson
Batuotas katinas Pūkis: Paskutinis noras,2022PG1h 42m,Animation,7.8,162K,Joel Crawford
Diunkerkas,2017N-131h 46m,Action,7.8,720K,Christopher Nolan
Didžioji skola,2015N-132h 10m,Biography,7.8,471K,Adam McKay
Mergina su drakono tatuiruote,2011N-162h 38m,Crime,7.8,487K,David Fincher
Paslėptos figūros,2016PG2h 7m,Biography,7.8,249K,Theodore Melfi
Vaiduoklių medžiotojai,1984PG1h 45m,Action,7.8,437K,Ivan Reitman
Kietas faras,2007R2h 1m,Action,7.8,528K,Edgar Wright
Pusryčiu klubas,1985R1h 37m,Comedy,7.8,428K,John Hughes
Bėglys,1993PG-132h 10m,Action,7.8,312K,Andrew Davis
Apokalipto,2006R2h 19m,Action,7.8,326K,Mel Gibson
Keista Bendžamino Batono istorija,2008PG-132h 46m,Drama,7.8,684K,David Fincher
Atpirkimas,2007R2h 3m,Drama,7.8,295K,Joe Wright
Grobuonis,1987R1h 47m,Action,7.8,446K,John McTiernan
Šelmis-1: Žvaigždžių karų istorija,2016N-132h 13m,Action,7.8,674K,Gareth Edwards
Bronkso istorijos,1993R2h 1m,Crime,7.8,156K,Robert De Niro
RRR (Rise Roar Revolt),2022Not Rated3h 7m,Action,7.8,160K,S.S. Rajamouli
Žvaigždžiu karai: galia nubunda,2015N-132h 18m,Action,7.8,962K,J.J. Abrams
Pietinio kvartalo vyrukai,1991R1h 52m,Crime,7.8,151K,John Singleton
Amerikos gangsteris,2007R2h 37m,Biography,7.8,446K,Ridley Scott
Nakties klajunas,2014N-131h 57m,Crime,7.8,590K,Dan Gilroy
Ferio Biulerio poilsio diena,1986PG-131h 43m,Comedy,7.8,380K,John Hughes
Mančesteris prie juros,2016N-132h 17m,Drama,7.8,304K,Kenneth Lonergan
Mizere,1990R1h 47m,Drama,7.8,230K,Rob Reiner
Prisiminkite Titanus,2000PG1h 53m,Biography,7.8,228K,Boaz Yakin
Meškiukas Padingtonas 2,2017V1h 43m,Adventure,7.8,89K,Paul King
Hobitas: Smogo dykynė,2013N-132h 41m,Adventure,7.8,693K,Peter Jackson
Operacija Skyfall,2012N-132h 23m,Action,7.8,722K,Sam Mendes
Neliečiamieji,1987R1h 59m,Crime,7.8,326K,Brian De Palma
Mažoji mis,2006R1h 41m,Comedy,7.8,508K,Jonathan Dayton
Bornas: sunaikinta tapatybė,2002PG-131h 59m,Action,7.8,568K,Doug Liman
Paskutinis samurajus,2003R2h 34m,Action,7.8,463K,Edward Zwick
Prarastasis,2000PG-132h 23m,Adventure,7.8,626K,Robert Zemeckis
Imitation of Life,1959Not Rated2h 5m,Drama,7.8,18K,Douglas Sirk
Merė Popins,1964G2h 19m,Comedy,7.8,183K,Robert Stevenson
As regejau setona,2010N-182h 24m,Action,7.8,143K,Jee-woon Kim
Šaunusis kapitonas: gyvenimas be taisyklių,2016N-131h 58m,Comedy,7.8,231K,Matt Ross
Tiesiai iš Komptono,2015R2h 27m,Biography,7.8,215K,F. Gary Gray
Pirmasis keršytojas: didvyrių karas,2016N-132h 27m,Action,7.8,834K,Anthony Russo
Zaidimu aikstele,1993PG1h 41m,Comedy,7.8,100K,David Mickey Evans
Rojaus dienos,1978PG1h 34m,Drama,7.8,62K,Terrence Malick
Serenity,2005PG-131h 59m,Action,7.8,303K,Joss Whedon
Close,2022PG-131h 44m,Drama,7.8,31K,Lukas Dhont
Pirmasis keršytojas 2: Antrasis karas,2014N-132h 16m,Action,7.8,886K,Anthony Russo
Žmogus iš Žemės,2007Not Rated1h 27m,Drama,7.8,197K,Richard Schenkman
Baymax,2014V1h 42m,Animation,7.8,491K,Don Hall
Gekijouban Jujutsu Kaisen 0,2021PG-131h 45m,Animation,7.8,32K,Seong-Hu Park
Atgal i ateiti II,1989PG1h 48m,Adventure,7.8,563K,Robert Zemeckis
Ties jausmų riba,2005PG-132h 16m,Biography,7.8,262K,James Mangold
Mėnulis,2009R1h 37m,Drama,7.8,372K,Duncan Jones
Šventasis Kalnas,197316+1h 54m,Adventure,7.8,47K,Alejandro Jodorowsky
Menesienos karalyste,2012N-71h 34m,Adventure,7.8,364K,Wes Anderson
Teisingi vyrukai,1983PG3h 13m,Adventure,7.8,64K,Philip Kaufman
Kovotojas,2010R1h 56m,Action,7.8,384K,David O. Russell
Deganti Misisipe,1988R2h 8m,Crime,7.8,108K,Alan Parker
Kapitonas Phillips,2013N-132h 14m,Action,7.8,485K,Paul Greengrass
Dienos pėdsakais,1993PG2h 14m,Drama,7.8,82K,James Ivory
Mergina su drakono tatuiruote,2009N-162h 32m,Crime,7.8,222K,Niels Arden Oplev
Vidurnakčio kaubojus,1969X1h 53m,Drama,7.8,118K,John Schlesinger
Bekraštė istorija,2006R1h 57m,Adventure,7.8,116K,Tarsem Singh
Laukinių žmonių medžioklė,2016N-71h 41m,Adventure,7.8,139K,Taika Waititi
Įsileisk mane,2008N-161h 54m,Drama,7.8,225K,Tomas Alfredson
Kikes siuntu tarnyba,1989G1h 43m,Animation,7.8,159K,Hayao Miyazaki
Raudonoji upė,1948Passed2h 13m,Drama,7.8,34K,Howard Hawks
Triumfas,1989R2h 2m,Biography,7.8,142K,Edward Zwick
Pokalbis,1974PG1h 53m,Drama,7.8,119K,Francis Ford Coppola
Ieškotojai,1956Passed1h 59m,Adventure,7.8,95K,John Ford
Šunų sala,2018PG-131h 41m,Animation,7.8,186K,Wes Anderson
Trylika gyvybių,2022PG-132h 27m,Action,7.8,65K,Ron Howard
Kaip prisijaukinti slibiną 2,2014PG1h 42m,Animation,7.8,357K,Dean DeBlois
Prabudimai,1990PG-132h 1m,Biography,7.8,155K,Penny Marshall
Informatorius,1999R2h 37m,Biography,7.8,178K,Michael Mann
Komedijos karalius,1982PG1h 49m,Comedy,7.8,115K,Martin Scorsese
La migliore offerta,2013R2h 11m,Crime,7.8,126K,Giuseppe Tornatore
Tokijo krikštatėviai,2003PG-131h 32m,Animation,7.8,45K,Satoshi Kon
Numireliu ausra,1978Unrated2h 7m,Horror,7.8,127K,George A. Romero
Laumės vaikas,2008R2h 21m,Biography,7.8,263K,Clint Eastwood
Gyvų numirėlių naktis,1968Not Rated1h 36m,Horror,7.8,137K,George A. Romero
Prieš bangas,1996R2h 39m,Drama,7.8,71K,Lars von Trier
Edas Vudas,1994R2h 7m,Biography,7.8,182K,Tim Burton
Kramer prieš Krameri,1979PG1h 45m,Drama,7.8,152K,Robert Benton
Atstumtasis Džosis Veilsas,1976PG2h 15m,Western,7.8,79K,Clint Eastwood
Širdies šnabždesys,1995G1h 51m,Animation,7.8,70K,Yoshifumi Kondô
Gaslight,1944Passed1h 54m,Crime,7.8,33K,George Cukor
Kartą,2007R1h 26m,Drama,7.8,120K,John Carney
Laiškai iš Ivo Džimos,2006R2h 21m,Action,7.8,168K,Clint Eastwood
Kabaretas,1972PG2h 4m,Drama,7.8,58K,Bob Fosse
Spalio dangus,1999PG1h 48m,Biography,7.8,97K,Joe Johnston
Hana ir seserys,1986PG-131h 47m,Comedy,7.8,75K,Woody Allen
Mažylio auklėjimas,1938Passed1h 42m,Comedy,7.8,65K,Howard Hawks
Vincento meilė,2017PG-131h 34m,Animation,7.8,62K,DK Welchman
Mano kairė koja,1989R1h 43m,Biography,7.8,79K,Jim Sheridan
Šakalo diena,1973PG2h 23m,Crime,7.8,44K,Fred Zinnemann
Į rytus nuo Rojaus,1955PG1h 58m,Drama,7.8,48K,Elia Kazan
Mirties laukai,1984R2h 21m,Biography,7.8,58K,Roland Joffé
Frankenšteinas,1931Passed1h 10m,Drama,7.8,78K,James Whale
Manhetenas,1979R1h 36m,Comedy,7.8,145K,Woody Allen
Chugyeokja,2008Not Rated2h 5m,Action,7.8,71K,Na Hong-jin
Gangubai Kathiawadi,2022TV-MA2h 32m,Biography,7.8,60K,Sanjay Leela Bhansali
Visas tas džiazas,1979R2h 3m,Drama,7.8,34K,Bob Fosse
Samdomas žudikas,1989R1h 51m,Action,7.8,50K,John Woo
"Agirė, Dievo rūstybė",1972Not Rated1h 35m,Action,7.8,61K,Werner Herzog
Freaks,1932Not Rated1h 4m,Drama,7.8,50K,Tod Browning
"Aš, Danielis Bleikas",2016R1h 40m,Drama,7.8,64K,Ken Loach
Mano žemė,2015R1h 40m,Drama,7.8,45K,Martin Zandvliet
Lilija amžinai,2002R1h 49m,Crime,7.8,49K,Lukas Moodysson
Įtarimo šešėlis,1943Passed1h 48m,Film-Noir,7.8,69K,Alfred Hitchcock
The Day the Earth Stood Still,1951G1h 32m,Drama,7.8,85K,Robert Wise
Diližanas,1939Passed1h 36m,Adventure,7.8,53K,John Ford
Jo merginos penktadienis,1940Passed1h 32m,Comedy,7.8,62K,Howard Hawks
Pride,2014R1h 59m,Biography,7.8,61K,Matthew Warchus
Žmogus grizlis,2005R1h 43m,Documentary,7.8,61K,Werner Herzog
Frankenšteino nuotaka,1935Not Rated1h 15m,Drama,7.8,52K,James Whale
Johnny Got His Gun,1971R1h 51m,Drama,7.8,18K,Dalton Trumbo
Nindzes manuskirptas,1993Not Rated1h 34m,Animation,7.8,40K,Yoshiaki Kawajiri
Greičio svajonė,2005PG-132h 7m,Biography,7.8,58K,Roger Donaldson
Batman: Mask of the Phantasm,1993PG1h 16m,Animation,7.8,55K,Kevin Altieri
Guess Who's Coming to Dinner,1967Approved1h 48m,Comedy,7.8,48K,Stanley Kramer
Choristai,2004PG-131h 37m,Drama,7.8,66K,Christophe Barratier
Oliver Twist,1948Not Rated1h 56m,Drama,7.8,13K,David Lean
Pranašas,2009R2h 35m,Crime,7.8,101K,Jacques Audiard
Viskas apie mano mamą,1999R1h 41m,Comedy,7.8,102K,Pedro Almodóvar
Baltasis kaspinas,2009R2h 24m,Drama,7.8,77K,Michael Haneke
"Žmogus, norėjęs tapti karaliumi",1975PG2h 9m,Adventure,7.8,51K,John Huston
Vieną kartą Anatolijoje,2011Not Rated2h 37m,Crime,7.8,49K,Nuri Bilge Ceylan
Šerburo lietsargiai,1964Not Rated1h 31m,Drama,7.8,30K,Jacques Demy
You Can't Take It with You,1938Passed2h 6m,Comedy,7.8,27K,Frank Capra
Babetes puota,1987G1h 43m,Drama,7.8,21K,Gabriel Axel
"They Shoot Horses, Don't They?",1969M2h 9m,Drama,7.8,20K,Sydney Pollack
Cléo de 5 à 7,1962Not Rated1h 30m,Comedy,7.8,26K,Agnès Varda
Kuklus buržuazijos žavesys,1972PG1h 42m,Comedy,7.8,46K,Luis Buñuel
Traukinys,1964Not Rated2h 13m,Action,7.8,18K,John Frankenheimer
Dezutes pietums,2013PG1h 44m,Drama,7.8,60K,Ritesh Batra
"Hirošima, mano meile",1959Not Rated1h 30m,Drama,7.8,35K,Alain Resnais
Kaubojus Bibopas,2001TV-141h 55m,Animation,7.8,52K,Shin'ichirô Watanabe
Playtime,1967Not Rated2h 35m,Comedy,7.8,25K,Jacques Tati
The Court Jester,1955Approved1h 41m,Adventure,7.8,14K,Melvin Frank
Gyventi savo gyvenimą,1962Not Rated1h 20m,Drama,7.8,34K,Jean-Luc Godard
Veer-Zaara,2004Not Rated3h 12m,Drama,7.8,56K,Yash Chopra
To Have and Have Not,1944Passed1h 40m,Adventure,7.8,37K,Howard Hawks
Badla,2019Not Rated1h 58m,Crime,7.8,30K,Sujoy Ghosh
Didieji lūkesčiai,1946Approved1h 58m,Adventure,7.8,26K,David Lean
Asfalto džiungles,1950Passed1h 52m,Crime,7.8,29K,John Huston
Vaikų valanda,1961Not Rated1h 48m,Drama,7.8,18K,William Wyler
The Innocents,1961Not Rated1h 40m,Horror,7.8,33K,Jack Clayton
Yin shi nan nu,1994Not Rated2h 4m,Comedy,7.8,23K,Ang Lee
Stutz,2022R1h 36m,Documentary,7.8,17K,Jonah Hill
Metri shesh va nim,20192h 11m,Action,7.8,18K,Saeed Roustayi
The Ghost and Mrs. Muir,1947Not Rated1h 44m,Comedy,7.8,21K,Joseph L. Mankiewicz
Ninočka,1939Not Rated1h 50m,Comedy,7.8,22K,Ernst Lubitsch
Nusikaltimai ir prasižengimai,1989PG-131h 44m,Comedy,7.8,60K,Woody Allen
"Koks tevas, toks ir sunus",2013Not Rated2h 1m,Drama,7.8,27K,Kore-eda Hirokazu
Hud,1963Passed1h 52m,Drama,7.8,24K,Martin Ritt
The Hunchback of Notre Dame,1939Passed1h 56m,Drama,7.8,12K,William Dieterle
Sennen joyû,2001PG1h 27m,Animation,7.8,31K,Satoshi Kon
The Servant,1963Unrated1h 56m,Drama,7.8,13K,Joseph Losey
Mimi,2021TV-142h 12m,Comedy,7.8,42K,Rajesh Bhatia
The Bad and the Beautiful,1952Passed1h 58m,Drama,7.8,16K,Vincente Minnelli
Gyvatės apkabinimas,2015Not Rated2h 5m,Adventure,7.8,24K,Ciro Guerra
Paštininkas,1994PG1h 48m,Biography,7.8,39K,Michael Radford
Berserk: Ougon jidai-hen III - Kourin,2013Not Rated1h 50m,Animation,7.8,11K,Toshiyuki Kubooka
The Game Changers,20181h 26m,Documentary,7.8,21K,Louie Psihoyos
Days of Wine and Roses,1962Approved1h 57m,Drama,7.8,14K,Blake Edwards
Labas rytas,1959Not Rated1h 34m,Comedy,7.8,11K,Yasujirô Ozu
Ernestas ir Selestina,2012PG1h 20m,Animation,7.8,22K,Stéphane Aubier
Boruto: Naruto the Movie,2015PG1h 35m,Animation,7.8,12K,Hiroyuki Yamashita
'Breaker' Morant,1980PG1h 47m,Drama,7.8,14K,Bruce Beresford
Die Büchse der Pandora,1929Not Rated1h 49m,Crime,7.8,12K,Georg Wilhelm Pabst
Ma nuit chez Maud,1969GP1h 50m,Comedy,7.8,14K,Éric Rohmer
American Movie,1999R1h 47m,Documentary,7.8,19K,Chris Smith
Septynios gegužės dienos,1964Approved1h 58m,Drama,7.8,17K,John Frankenheimer
Au hasard Balthazar,1966Not Rated1h 35m,Drama,7.8,22K,Robert Bresson
Systemsprenger,20192h 5m,Drama,7.8,14K,Nora Fingscheidt
Pelia Užkariautojas,1987PG-132h 37m,Drama,7.8,12K,Bille August
Birdman of Alcatraz,1962Not Rated2h 27m,Biography,7.8,19K,John Frankenheimer
Becket,1964PG-132h 28m,Biography,7.8,16K,Peter Glenville
El espíritu de la colmena,1973Not Rated1h 38m,Drama,7.8,20K,Víctor Erice
Amy,2015R2h 8m,Documentary,7.8,54K,Asif Kapadia
Beldžiant į dangaus vartus,1997Not Rated1h 27m,Action,7.8,33K,Thomas Jahn
Stranger: Mukô hadan,2007Not Rated1h 43m,Animation,7.8,18K,Masahiro Andô
C.R.A.Z.Y.,2005Not Rated2h 9m,Comedy,7.8,34K,Jean-Marc Vallée
Mr. Deeds Goes to Town,1936Not Rated1h 55m,Comedy,7.8,23K,Frank Capra
Nayak: The Real Hero,2001Not Rated3h 7m,Action,7.8,17K,S. Shankar
"Mano, Cukinijos, gyvenimas",2016PG-131h 6m,Animation,7.8,28K,Claude Barras
Jiro Dreams of Sushi,2011PG1h 21m,Documentary,7.8,38K,David Gelb
Gimme Shelter,1970GP1h 31m,Documentary,7.8,13K,Albert Maysles
Journal d'un curé de campagne,1951Not Rated1h 55m,Drama,7.8,12K,Robert Bresson
Tas niūrus geismo objektas,1977R1h 43m,Comedy,7.8,24K,Luis Buñuel
Laisvės šmėkla,1974R1h 44m,Comedy,7.8,17K,Luis Buñuel
Kader,20061h 43m,Drama,7.8,16K,Zeki Demirkubuz
Oasiseu,20022h 13m,Drama,7.8,10K,Lee Chang-dong
Benamis šuo,1949Not Rated2h 2m,Crime,7.8,19K,Akira Kurosawa
Mama Roma,1962Not Rated1h 46m,Drama,7.8,10K,Pier Paolo Pasolini
Brolis,19971h 36m,Action,7.8,24K,Aleksey Balabanov
Tylėjimas,1963R1h 36m,Drama,7.8,21K,Ingmar Bergman
Mano mylimiausias priešas - Klausas Kinski,1999Not Rated1h 35m,Documentary,7.8,12K,Werner Herzog
Hotarubi no mori e,201145m,Animation,7.8,21K,Takahiro Ômori
Kôkaku kidôtai 2.0,2008TV-141h 23m,Animation,7.8,15K,Mamoru Oshii
Naktis operoje,1935Passed1h 36m,Comedy,7.8,34K,Sam Wood
Shi,2010TV-PG2h 19m,Drama,7.8,13K,Lee Chang-dong
English Vinglish,2012Not Rated2h 14m,Comedy,7.8,39K,Gauri Shinde
Kai po che!,2013Not Rated2h 10m,Drama,7.8,38K,Abhishek Kapoor
Kabadayi,20072h 20m,Action,7.8,24K,Ömer Vargi
Pienburniai,1953Not Rated1h 49m,Comedy,7.8,20K,Federico Fellini
Secret Superstar,2017Not Rated2h 30m,Drama,7.8,29K,Advait Chandan
Lakshya,2004Not Rated3h 6m,Action,7.8,25K,Farhan Akhtar
Saulės nualinti,1994R2h 15m,Drama,7.8,16K,Nikita Mikhalkov
Moartea domnului Lazarescu,2005R2h 33m,Comedy,7.8,16K,Cristi Puiu
Sans soleil,1983Not Rated1h 44m,Documentary,7.8,12K,Chris Marker
Veidai kaimai,2017PG1h 34m,Documentary,7.8,13K,JR
The Dissident,2020PG-131h 59m,Documentary,7.8,30K,Bryan Fogel
Hindi Medium,2017Not Rated2h 12m,Comedy,7.8,31K,Saket Chaudhary
The Beatles: Eight Days a Week - The Touring Years,2016Not Rated1h 46m,Documentary,7.8,14K,Ron Howard
Fury,1936Not Rated1h 32m,Crime,7.8,13K,Fritz Lang
Minnal Murali,2021TV-142h 38m,Action,7.8,32K,Basil Joseph
Ponas Reduksas,1947Passed2h 4m,Comedy,7.8,19K,Charles Chaplin
Seven Chances,1925Passed56m,Comedy,7.8,12K,Buster Keaton
Kono sekai no katasumi ni,2016PG-132h 9m,Animation,7.8,12K,Sunao Katabuchi
Sala,2006PG-131h 52m,Drama,7.8,12K,Pavel Lungin
Kelias namo,1999V1h 29m,Drama,7.8,14K,Yimou Zhang
El hijo de la novia,2001R2h 3m,Comedy,7.8,16K,Juan José Campanella
Our Hospitality,1923Passed1h 5m,Comedy,7.8,12K,John G. Blystone
Sound City,2013Not Rated1h 47m,Documentary,7.8,13K,Dave Grohl
Le corbeau,1943Not Rated1h 32m,Crime,7.8,11K,Henri-Georges Clouzot
Life Itself,2014R2h 1m,Documentary,7.8,16K,Steve James
Joji,20211h 53m,Crime,7.8,11K,Dileesh Pothan
"Steamboat Bill, Jr.",1928Not Rated1h 10m,Action,7.8,16K,Charles Reisner
Nanban,2012Not Rated3h 8m,Comedy,7.8,16K,S. Shankar
Vicky Donor,2012Not Rated2h 6m,Comedy,7.8,45K,Shoojit Sircar
"Food, Inc.",2008PG1h 34m,Documentary,7.8,52K,Robert Kenner
Germania anno zero,1948Not Rated1h 18m,Drama,7.8,13K,Roberto Rossellini
Supersonic,2016R2h 2m,Documentary,7.8,12K,Mat Whitecross
Gönül Yarasi,20052h 22m,Drama,7.8,10K,Yavuz Turgul
Monty Python Live at the Hollywood Bowl,1982R1h 17m,Documentary,7.8,16K,Terry Hughes
Goodachari,2018Not Rated2h 27m,Action,7.8,11K,Sashi Kiran Tikka
Gangaajal,2003Not Rated2h 37m,Action,7.8,18K,Prakash Jha
Vienas namuose,1990V1h 43m,Comedy,7.7,625K,Chris Columbus
Kimitachi wa dô ikiru ka,2023PG-132h 4m,Animation,7.7,12K,Hayao Miyazaki
Džonas Vikas 4,2023R2h 49m,Action,7.7,306K,Chad Stahelski
Laisvės garsas,2023PG-132h 11m,Biography,7.7,89K,Alejandro Monteverde
Haris Poteris ir ugnies taurė,2005N-72h 37m,Adventure,7.7,666K,Mike Newell
Banginis,2022R1h 57m,Drama,7.7,192K,Darren Aronofsky
Padaužos,1985PG1h 54m,Adventure,7.7,293K,Richard Donner
Purpurinė pieva,1985N-72h 34m,Drama,7.7,93K,Steven Spielberg
Vėjų upė,2017N-161h 47m,Crime,7.7,273K,Taylor Sheridan
Salos vaiduokliai,2022R1h 54m,Comedy,7.7,235K,Martin McDonagh
Haris Poteris ir mirties relikvijos. 1 dalis,2010N-72h 26m,Adventure,7.7,585K,David Yates
Sicario: narkotikų karas,2015N-162h 1m,Action,7.7,462K,Denis Villeneuve
Protas ir jausmai,1995V2h 16m,Drama,7.7,123K,Ang Lee
Juodojo vanago žūtis,2001R2h 24m,Action,7.7,417K,Ridley Scott
Pagirios Las Vegase,2009R1h 40m,Comedy,7.7,829K,Todd Phillips
Aftersun,2022R1h 42m,Drama,7.7,80K,Charlotte Wells
Kai Haris sutiko Salę,1989R1h 35m,Comedy,7.7,236K,Rob Reiner
Oušeno vienuoliktukas,2001PG-131h 56m,Crime,7.7,607K,Steven Soderbergh
Zodiakas,2007R2h 37m,Crime,7.7,583K,David Fincher
Adeles gyvenimas. I ir II skyrius,2013NC-173h,Drama,7.7,161K,Abdellatif Kechiche
Ex Machina,2014N-161h 48m,Drama,7.7,575K,Alex Garland
Kingsman. Slaptoji tarnyba,2014N-162h 9m,Action,7.7,703K,Matthew Vaughn
Pasiklydę vertime,2003R1h 42m,Comedy,7.7,479K,Sofia Coppola
Optimisto istorija,2012N-132h 2m,Comedy,7.7,734K,David O. Russell
Mission: Impossible - Fallout,2018N-132h 27m,Action,7.7,370K,Christopher McQuarrie
Degantis žmogus,2004R2h 26m,Action,7.7,383K,Tony Scott
Aeroplanas,1980PG1h 28m,Comedy,7.7,255K,Jim Abrahams
Išbandymų diena,2001R2h 2m,Crime,7.7,463K,Antoine Fuqua
Paskutinis mohikanas,1992R1h 52m,Action,7.7,183K,Michael Mann
500 meilės dienų,2009PG-131h 35m,Comedy,7.7,546K,Marc Webb
Taip pat ir tavo mamą,20011h 46m,Drama,7.7,128K,Alfonso Cuarón
Kas graužia Gilbertą Greipą,1993PG-131h 58m,Drama,7.7,250K,Lasse Hallström
Blogiausias žmogus pasaulyje,2021R2h 8m,Comedy,7.7,90K,Joachim Trier
Iksmenai: pirma klasė,2011PG-132h 11m,Action,7.7,715K,Matthew Vaughn
Rembo: Pirmasis kraujas,1982R1h 33m,Action,7.7,270K,Ted Kotcheff
Korolaina ir slaptas pasaulis,2009N-71h 40m,Animation,7.7,257K,Henry Selick
Dar po viena,2020Not Rated1h 57m,Drama,7.7,185K,Thomas Vinterberg
Berniukas dryzuota pizama,2008N-71h 34m,Drama,7.7,239K,Mark Herman
Žaidimas,1997R2h 9m,Drama,7.7,421K,David Fincher
Breaking Away,1979PG1h 41m,Comedy,7.7,25K,Peter Yates
Mėlynas aksomas,1986N-162h,Crime,7.7,211K,David Lynch
Donis Brasko,1997R2h 7m,Biography,7.7,326K,Mike Newell
Suzume no Tojimari,2022PG2h 2m,Animation,7.7,30K,Makoto Shinkai
Ilgo plauko istorija,2010N-71h 40m,Animation,7.7,483K,Nathan Greno
Marty,1955Not Rated1h 30m,Drama,7.7,26K,Delbert Mann
Šaunioji septyniukė,1960Approved2h 8m,Action,7.7,101K,John Sturges
Žmogus-paukštis,2014N-161h 59m,Comedy,7.7,657K,Alejandro G. Iñárritu
Kuprotas kalnas,2005R2h 14m,Drama,7.7,376K,Ang Lee
The Vaccine War,20232h 41m,Drama,7.7,23K,Vivek Agnihotri
An Cailín Ciúin,2022PG-131h 35m,Drama,7.7,19K,Colm Bairéad
"What's Up, Doc?",1972G1h 34m,Comedy,7.7,26K,Peter Bogdanovich
Liepsnojantys balnai,1974R1h 33m,Comedy,7.7,149K,Mel Brooks
Grafas Montekristas,2002PG-132h 11m,Action,7.7,146K,Kevin Reynolds
Geri vyrukai,1992R2h 18m,Drama,7.7,282K,Rob Reiner
Holiday,1938Passed1h 35m,Comedy,7.7,18K,George Cukor
Mulan,1998G1h 27m,Animation,7.7,309K,Tony Bancroft
Avarija,2004R1h 52m,Crime,7.7,446K,Paul Haggis
Pirmykšte baime,1996R2h 9m,Crime,7.7,241K,Gregory Hoblit
Apolo 13,1995PG2h 20m,Adventure,7.7,310K,Ron Howard
Bundoko šventieji,1999R1h 48m,Action,7.7,247K,Troy Duffy
Operacija Argo,2012N-132h,Biography,7.7,633K,Ben Affleck
Žaislų istorija 4,2019V1h 40m,Animation,7.7,273K,Josh Cooley
Išsigelbėjimas,1972R1h 49m,Adventure,7.7,117K,John Boorman
"Kaip bus, taip gerai",1997PG-132h 19m,Comedy,7.7,314K,James L. Brooks
Metalo garsas,2019R2h,Drama,7.7,145K,Darius Marder
Kepti žalieji pomidorai,1991PG-132h 10m,Drama,7.7,80K,Jon Avnet
Gataka,1997PG-131h 46m,Drama,7.7,318K,Andrew Niccol
Kas pakišo triušį Rodžerį,1988PG1h 44m,Animation,7.7,213K,Robert Zemeckis
Helovinas,1978R1h 31m,Horror,7.7,302K,John Carpenter
Nuogas,1993Not Rated2h 11m,Comedy,7.7,43K,Mike Leigh
Auksapirštis,1964PG1h 50m,Action,7.7,200K,Guy Hamilton
